Zeit [s]	Temperatur [°C]	Kraft [N]
		
3,420000162	61,92778253	0,01177206
3,430000163	61,92778253	0,01177206
3,440000163	61,92778253	0,01177206
3,450000164	61,92778253	0,01177206
3,460000164	61,92778253	0,01177206
3,470000165	61,92778253	0,01177206
3,480000165	61,92778253	0,01177206
3,490000166	61,92778253	0,01177206
3,500000166	61,92778253	0,01177206
3,510000167	61,92778253	0,01177206
3,520000167	61,92778253	0,01177206
3,530000168	61,92778253	0,01177206
3,540000168	61,92778253	0,01177206
3,550000169	61,92778253	0,01177206
3,560000169	61,92778253	0,01177206
3,57000017	61,92778253	0,01177206
3,58000017	61,92778253	0,01177206
3,590000171	61,92778253	0,01177206
3,600000171	61,92778253	6,00005E-08
3,610000171	61,92778253	6,00005E-08
3,620000172	61,92778253	6,00005E-08
3,630000172	61,92778253	0,01177206
3,640000173	61,92778253	0,01177206
3,650000173	61,92778253	0,01177206
3,660000174	61,92778253	0,01177206
3,670000174	61,92778253	0,01177206
3,680000175	61,92778253	0,01177206
3,690000175	61,92778253	0,01177206
3,700000176	61,92778253	0,01177206
3,710000176	61,92778253	0,01177206
3,720000177	61,92778253	6,00005E-08
3,730000177	61,92778253	0,01177206
3,740000178	61,92778253	0,01177206
3,750000178	61,92778253	0,01177206
3,760000179	61,92778253	0,01177206
3,770000179	61,92778253	0,01177206
3,78000018	61,92778253	0,01177206
3,79000018	61,92778253	0,01177206
3,80000018	61,92778253	0,01177206
3,810000181	61,92778253	0,01177206
3,820000181	61,92778253	0,01177206
3,830000182	61,92778253	0,01177206
3,840000182	61,92778253	0,01177206
3,850000183	62,13639118	6,00005E-08
3,860000183	62,72056774	0,01177206
3,870000184	63,13790198	0,01177206
3,880000184	63,09616611	0,01177206
3,890000185	62,97096176	0,01177206
3,900000185	63,012696	0,01177206
3,910000186	63,17963839	6,00005E-08
3,920000186	63,34658949	0,01177206
3,930000187	63,51354929	0,01177206
3,940000187	63,76400531	0,01177206
3,950000188	64,05622875	0,01177206
3,960000188	64,30672719	0,01177206
3,970000189	63,97273362	0,01177206
3,980000189	63,34658949	6,00005E-08
3,99000019	62,8457623	0,01177206
4,00000019	62,38673951	0,01177206
4,01000019	62,13639118	6,00005E-08
4,020000191	61,96950317	6,00005E-08
4,030000191	61,80262386	6,00005E-08
4,040000192	61,67747009	0,01177206
4,050000192	61,63575326	0,01177206
4,060000193	61,63575326	6,00005E-08
4,070000193	61,63575326	6,00005E-08
4,080000194	61,63575326	6,00005E-08
4,090000194	61,67747009	0,01177206
4,100000195	61,67747009	6,00005E-08
4,110000195	61,67747009	6,00005E-08
4,120000196	61,67747009	6,00005E-08
4,130000196	61,67747009	0,01177206
4,140000197	61,71918747	6,00005E-08
4,150000197	61,71918747	6,00005E-08
4,160000198	61,7609054	0,01177206
4,170000198	61,7609054	0,01177206
4,180000199	61,80262386	0,01177206
4,190000199	61,80262386	6,00005E-08
4,200000199	61,84434287	6,00005E-08
4,2100002	61,88606243	6,00005E-08
4,2200002	61,92778253	0,01177206
4,230000201	61,96950317	0,01177206
4,240000201	61,96950317	0,01177206
4,250000202	62,01122436	0,01177206
4,260000202	62,05294609	0,01177206
4,270000203	62,09466836	0,01177206
4,280000203	62,13639118	0,01177206
4,290000204	62,17811454	0,01177206
4,300000204	62,21983845	0,01177206
4,310000205	62,2615629	0,01177206
4,320000205	62,30328789	0,01177206
4,330000206	62,34501343	0,01177206
4,340000206	62,38673951	0,01177206
4,350000207	62,42846613	0,01177206
4,360000207	62,42846613	0,01177206
4,370000208	62,4701933	0,01177206
4,380000208	62,4701933	0,01177206
4,390000209	62,4701933	0,01177206
4,400000209	62,38673951	0,01177206
4,410000209	62,2615629	0,03531606
4,42000021	62,2615629	0,52974006
4,43000021	62,2615629	1,62453606
4,440000211	62,2615629	2,53098006
4,450000211	62,2615629	3,69640806
4,460000212	62,2615629	4,90892406
4,470000212	62,30328789	6,06258006
4,480000213	62,30328789	7,09851606
4,490000213	62,34501343	7,64002806
4,500000214	62,34501343	7,41636006
4,510000214	62,34501343	6,45105606
4,520000215	62,34501343	4,97955606
4,530000215	62,38673951	3,86121606
4,540000216	62,38673951	3,47274006
4,550000216	62,42846613	3,47274006
4,560000217	62,42846613	3,82590006
4,570000217	62,42846613	4,14374406
4,580000218	62,4701933	4,22614806
4,590000218	62,4701933	4,24969206
4,600000218	62,51192102	4,22614806
4,610000219	62,51192102	3,42565206
4,620000219	62,51192102	2,33085606
4,63000022	62,55364927	1,93060806
4,64000022	62,55364927	1,83643206
4,650000221	62,55364927	1,78934406
4,660000221	62,59537807	1,73048406
4,670000222	62,59537807	1,68339606
4,680000222	62,59537807	1,64808006
4,690000223	62,59537807	1,64808006
4,700000223	62,63710742	1,62453606
4,710000224	62,63710742	1,60099206
4,720000224	62,63710742	1,57744806
4,730000225	62,67883731	1,57744806
4,740000225	62,67883731	1,56567606
4,750000226	62,67883731	1,55390406
4,760000226	62,67883731	1,53036006
4,770000227	62,67883731	1,51858806
4,780000227	62,72056774	1,51858806
4,790000228	62,72056774	1,50681606
4,800000228	62,72056774	1,49504406
4,810000228	62,76229872	1,48327206
4,820000229	62,76229872	1,48327206
4,830000229	62,76229872	1,48327206
4,84000023	62,76229872	1,47150006
4,85000023	62,76229872	1,44795606
4,860000231	62,80403024	1,44795606
4,870000231	62,80403024	1,44795606
4,880000232	62,80403024	1,43618406
4,890000232	62,80403024	1,42441206
4,900000233	62,8457623	1,42441206
4,910000233	62,8457623	1,42441206
4,920000234	62,8457623	1,41264006
4,930000234	62,8457623	1,40086806
4,940000235	62,88749491	1,38909606
4,950000235	62,88749491	1,38909606
4,960000236	62,88749491	1,38909606
4,970000236	62,88749491	1,38909606
4,980000237	62,92922806	1,37732406
4,990000237	62,92922806	1,37732406
5,000000237	62,92922806	1,36555206
5,010000238	62,92922806	1,36555206
5,020000238	62,97096176	1,35378006
5,030000239	62,97096176	1,35378006
5,040000239	62,97096176	1,35378006
5,05000024	62,97096176	1,34200806
5,06000024	63,012696	1,33023606
5,070000241	63,012696	1,33023606
5,080000241	63,012696	1,33023606
5,090000242	63,012696	1,33023606
5,100000242	63,012696	1,31846406
5,110000243	63,012696	1,31846406
5,120000243	63,05443078	1,31846406
5,130000244	63,05443078	1,31846406
5,140000244	63,05443078	1,30669206
5,150000245	63,09616611	1,30669206
5,160000245	63,09616611	1,30669206
5,170000246	63,09616611	1,30669206
5,180000246	63,09616611	1,29492006
5,190000247	63,09616611	1,28314806
5,200000247	63,13790198	1,29492006
5,210000247	63,13790198	1,29492006
5,220000248	63,13790198	1,28314806
5,230000248	63,13790198	1,28314806
5,240000249	63,13790198	1,28314806
5,250000249	63,17963839	1,28314806
5,26000025	63,17963839	1,28314806
5,27000025	63,17963839	1,27137606
5,280000251	63,17963839	1,27137606
5,290000251	63,22137535	1,27137606
5,300000252	63,22137535	1,27137606
5,310000252	63,22137535	1,25960406
5,320000253	63,22137535	1,24783206
5,330000253	63,22137535	1,24783206
5,340000254	63,26311285	1,24783206
5,350000254	63,26311285	1,24783206
5,360000255	63,26311285	1,25960406
5,370000255	63,26311285	1,25960406
5,380000256	63,26311285	1,25960406
5,390000256	63,3048509	1,24783206
5,400000256	63,3048509	1,24783206
5,410000257	63,3048509	1,24783206
5,420000257	63,3048509	1,24783206
5,430000258	63,3048509	1,23606006
5,440000258	63,34658949	1,23606006
5,450000259	63,34658949	1,23606006
5,460000259	63,34658949	1,23606006
5,47000026	63,34658949	1,23606006
5,48000026	63,38832863	1,23606006
5,490000261	63,38832863	1,22428806
5,500000261	63,38832863	1,22428806
5,510000262	63,38832863	1,22428806
5,520000262	63,38832863	1,22428806
5,530000263	63,38832863	1,22428806
5,540000263	63,43006831	1,22428806
5,550000264	63,43006831	1,22428806
5,560000264	63,43006831	1,21251606
5,570000265	63,43006831	1,21251606
5,580000265	63,43006831	1,21251606
5,590000266	63,47180853	1,21251606
5,600000266	63,47180853	1,21251606
5,610000266	63,47180853	1,21251606
5,620000267	63,47180853	1,21251606
5,630000267	63,47180853	1,21251606
5,640000268	63,51354929	1,21251606
5,650000268	63,51354929	1,21251606
5,660000269	63,51354929	1,21251606
5,670000269	63,51354929	1,20074406
5,68000027	63,51354929	1,20074406
5,69000027	63,51354929	1,20074406
5,700000271	63,5552906	1,20074406
5,710000271	63,5552906	1,18897206
5,720000272	63,5552906	1,18897206
5,730000272	63,5552906	1,20074406
5,740000273	63,5552906	1,20074406
5,750000273	63,59703246	1,20074406
5,760000274	63,59703246	1,20074406
5,770000274	63,59703246	1,18897206
5,780000275	63,59703246	1,18897206
5,790000275	63,63877486	1,18897206
5,800000275	63,63877486	1,18897206
5,810000276	63,63877486	1,18897206
5,820000276	63,63877486	1,18897206
5,830000277	63,63877486	1,18897206
5,840000277	63,63877486	1,18897206
5,850000278	63,6805178	1,18897206
5,860000278	63,6805178	1,17720006
5,870000279	63,6805178	1,17720006
5,880000279	63,6805178	1,17720006
5,89000028	63,6805178	1,17720006
5,90000028	63,6805178	1,17720006
5,910000281	63,72226128	1,17720006
5,920000281	63,72226128	1,17720006
5,930000282	63,72226128	1,17720006
5,940000282	63,72226128	1,17720006
5,950000283	63,72226128	1,17720006
5,960000283	63,72226128	1,17720006
5,970000284	63,76400531	1,17720006
5,980000284	63,76400531	1,17720006
5,990000285	63,76400531	1,17720006
6,000000285	63,76400531	1,16542806
6,010000285	63,76400531	1,16542806
6,020000286	63,76400531	1,16542806
6,030000286	63,80574989	1,16542806
6,040000287	63,80574989	1,16542806
6,050000287	63,80574989	1,16542806
6,060000288	63,80574989	1,17720006
6,070000288	63,80574989	1,16542806
6,080000289	63,80574989	1,16542806
6,090000289	63,847495	1,16542806
6,10000029	63,847495	1,16542806
6,11000029	63,847495	1,16542806
6,120000291	63,847495	1,16542806
6,130000291	63,847495	1,16542806
6,140000292	63,847495	1,16542806
6,150000292	63,88924066	1,16542806
6,160000293	63,88924066	1,16542806
6,170000293	63,88924066	1,15365606
6,180000294	63,88924066	1,16542806
6,190000294	63,88924066	1,16542806
6,200000294	63,88924066	1,16542806
6,210000295	63,93098687	1,16542806
6,220000295	63,93098687	1,15365606
6,230000296	63,93098687	1,15365606
6,240000296	63,93098687	1,14188406
6,250000297	63,93098687	1,14188406
6,260000297	63,97273362	1,14188406
6,270000298	63,97273362	1,14188406
6,280000298	63,97273362	1,14188406
6,290000299	63,97273362	1,14188406
6,300000299	63,97273362	1,15365606
6,3100003	63,97273362	1,16542806
6,3200003	63,97273362	1,16542806
6,330000301	63,97273362	1,16542806
6,340000301	64,01448091	1,15365606
6,350000302	64,01448091	1,14188406
6,360000302	64,01448091	1,14188406
6,370000303	64,01448091	1,14188406
6,380000303	64,05622875	1,14188406
6,390000304	64,05622875	1,14188406
6,400000304	64,05622875	1,14188406
6,410000304	64,05622875	1,15365606
6,420000305	64,05622875	1,15365606
6,430000305	64,05622875	1,15365606
6,440000306	64,05622875	1,14188406
6,450000306	64,09797713	1,14188406
6,460000307	64,09797713	1,14188406
6,470000307	64,09797713	1,14188406
6,480000308	64,09797713	1,14188406
6,490000308	64,09797713	1,14188406
6,500000309	64,09797713	1,14188406
6,510000309	64,09797713	1,14188406
6,52000031	64,09797713	1,14188406
6,53000031	64,13972605	1,14188406
6,540000311	64,13972605	1,14188406
6,550000311	64,13972605	1,14188406
6,560000312	64,13972605	1,14188406
6,570000312	64,13972605	1,14188406
6,580000313	64,13972605	1,14188406
6,590000313	64,18147552	1,14188406
6,600000313	64,18147552	1,14188406
6,610000314	64,18147552	1,14188406
6,620000314	64,18147552	1,14188406
6,630000315	64,18147552	1,14188406
6,640000315	64,18147552	1,13011206
6,650000316	64,22322553	1,13011206
6,660000316	64,22322553	1,13011206
6,670000317	64,22322553	1,13011206
6,680000317	64,22322553	1,13011206
6,690000318	64,22322553	1,13011206
6,700000318	64,22322553	1,13011206
6,710000319	64,22322553	1,13011206
6,720000319	64,22322553	1,13011206
6,73000032	64,26497609	1,13011206
6,74000032	64,26497609	1,13011206
6,750000321	64,26497609	1,13011206
6,760000321	64,26497609	1,13011206
6,770000322	64,26497609	1,14188406
6,780000322	64,26497609	1,14188406
6,790000323	64,26497609	1,14188406
6,800000323	64,26497609	1,14188406
6,810000323	64,30672719	1,13011206
6,820000324	64,30672719	1,13011206
6,830000324	64,30672719	1,13011206
